Date,CSUSHPINSA
2000-01-01,100.0
2000-02-01,100.571
2000-03-01,101.46600000000001
2000-04-01,102.54
2000-05-01,103.70100000000001
2000-06-01,104.855
2000-07-01,105.721
2000-08-01,106.521
2000-09-01,107.135
2000-10-01,107.728
2000-11-01,108.291
2000-12-01,108.792
2001-01-01,109.215
2001-02-01,109.64299999999999
2001-03-01,110.39399999999999
2001-04-01,111.24799999999999
2001-05-01,112.20299999999999
2001-06-01,113.273
2001-07-01,114.229
2001-08-01,114.99
2001-09-01,115.46700000000001
2001-10-01,115.682
2001-11-01,115.839
2001-12-01,116.056
2002-01-01,116.43799999999999
2002-02-01,116.91799999999999
2002-03-01,117.931
2002-04-01,119.211
2002-05-01,120.79
2002-06-01,122.334
2002-07-01,123.68700000000001
2002-08-01,124.729
2002-09-01,125.493
2002-10-01,126.135
2002-11-01,126.641
2002-12-01,127.15
2003-01-01,127.652
2003-02-01,128.327
2003-03-01,129.31
2003-04-01,130.49
2003-05-01,131.841
2003-06-01,133.226
2003-07-01,134.64700000000002
2003-08-01,135.965
2003-09-01,137.077
2003-10-01,137.97799999999998
2003-11-01,138.769
2003-12-01,139.631
2004-01-01,140.709
2004-02-01,142.032
2004-03-01,144.082
2004-04-01,146.181
2004-05-01,148.335
2004-06-01,150.519
2004-07-01,152.338
2004-08-01,153.815
2004-09-01,155.11
2004-10-01,156.30100000000002
2004-11-01,157.499
2004-12-01,158.674
2005-01-01,160.135
2005-02-01,161.93
2005-03-01,164.582
2005-04-01,167.003
2005-05-01,169.547
2005-06-01,172.016
2005-07-01,174.097
2005-08-01,175.923
2005-09-01,177.612
2005-10-01,178.755
2005-11-01,179.679
2005-12-01,180.113
2006-01-01,180.833
2006-02-01,181.505
2006-03-01,182.753
2006-04-01,183.65099999999998
2006-05-01,184.382
2006-06-01,184.55
2006-07-01,184.612
2006-08-01,184.41
2006-09-01,184.204
2006-10-01,184.06
2006-11-01,183.637
2006-12-01,183.234
2007-01-01,182.722
2007-02-01,182.47400000000002
2007-03-01,182.196
2007-04-01,182.13400000000001
2007-05-01,181.888
2007-06-01,181.545
2007-07-01,181.0
2007-08-01,180.24200000000002
2007-09-01,179.12900000000002
2007-10-01,177.537
2007-11-01,175.168
2007-12-01,173.343
2008-01-01,171.082
2008-02-01,169.195
2008-03-01,167.907
2008-04-01,167.328
2008-05-01,167.02599999999998
2008-06-01,166.544
2008-07-01,165.72099999999998
2008-08-01,164.28599999999997
2008-09-01,161.91899999999998
2008-10-01,159.168
2008-11-01,156.076
2008-12-01,152.549
2009-01-01,149.36700000000002
2009-02-01,147.623
2009-03-01,146.52
2009-04-01,146.94899999999998
2009-05-01,148.17600000000002
2009-06-01,149.80100000000002
2009-07-01,150.749
2009-08-01,150.666
2009-09-01,149.625
2009-10-01,148.585
2009-11-01,147.942
2009-12-01,146.67
2010-01-01,145.003
2010-02-01,143.055
2010-03-01,143.597
2010-04-01,145.40200000000002
2010-05-01,147.037
2010-06-01,147.702
2010-07-01,147.56
2010-08-01,146.422
2010-09-01,144.602
2010-10-01,143.124
2010-11-01,141.817
2010-12-01,140.63299999999998
2011-01-01,139.046
2011-02-01,137.743
2011-03-01,137.793
2011-04-01,139.158
2011-05-01,140.688
2011-06-01,141.941
2011-07-01,142.34
2011-08-01,141.783
2011-09-01,140.164
2011-10-01,138.404
2011-11-01,136.659
2011-12-01,135.162
2012-01-01,134.165
2012-02-01,133.996
2012-03-01,135.86700000000002
2012-04-01,138.47299999999998
2012-05-01,141.049
2012-06-01,143.168
2012-07-01,144.278
2012-08-01,144.701
2012-09-01,144.356
2012-10-01,143.968
2012-11-01,143.964
2012-12-01,143.871
2013-01-01,144.311
2013-02-01,145.158
2013-03-01,147.96
2013-04-01,150.974
2013-05-01,153.869
2013-06-01,156.438
2013-07-01,158.298
2013-08-01,159.405
2013-09-01,159.68
2013-10-01,159.558
2013-11-01,159.361
2013-12-01,159.282
2014-01-01,159.38
2014-02-01,159.891
2014-03-01,161.21
2014-04-01,162.989
2014-05-01,164.702
2014-06-01,166.225
2014-07-01,167.142
2014-08-01,167.456
2014-09-01,167.25099999999998
2014-10-01,166.922
2014-11-01,166.675
2014-12-01,166.485
2015-01-01,166.285
2015-02-01,166.675
2015-03-01,168.13299999999998
2015-04-01,170.007
2015-05-01,171.88099999999997
2015-06-01,173.47400000000002
2015-07-01,174.513
2015-08-01,174.957
2015-09-01,175.071
2015-10-01,175.083
2015-11-01,175.185
2015-12-01,175.16299999999998
2016-01-01,175.08
2016-02-01,175.32
2016-03-01,176.637
2016-04-01,178.52700000000002
2016-05-01,180.377
2016-06-01,181.955
2016-07-01,183.065
2016-08-01,183.71200000000002
2016-09-01,184.011
2016-10-01,184.093
2016-11-01,184.315
2016-12-01,184.49099999999999
2017-01-01,184.739
2017-02-01,185.101
2017-03-01,186.604
2017-04-01,188.611
2017-05-01,190.611
2017-06-01,192.347
2017-07-01,193.601
2017-08-01,194.44099999999997
2017-09-01,194.91400000000002
2017-10-01,195.18099999999998
2017-11-01,195.549
2017-12-01,195.947
2018-01-01,196.218
2018-02-01,197.01
2018-03-01,198.679
2018-04-01,200.72299999999998
2018-05-01,202.562
2018-06-01,204.153
2018-07-01,205.06599999999997
2018-08-01,205.44799999999998
2018-09-01,205.507
2018-10-01,205.515
2018-11-01,205.266
2018-12-01,204.86700000000002
2019-01-01,204.385
2019-02-01,204.62599999999998
2019-03-01,205.965
2019-04-01,207.87
2019-05-01,209.528
2019-06-01,210.78400000000002
2019-07-01,211.53900000000002
2019-08-01,211.89700000000002
2019-09-01,212.062
2019-10-01,212.15400000000002
2019-11-01,212.293
2019-12-01,212.40599999999998
2020-01-01,212.468
2020-02-01,213.269
2020-03-01,215.202
2020-04-01,217.45
2020-05-01,218.872
2020-06-01,
2020-07-01,
2020-08-01,
