Date,NEWORDER
2000-01-01,63975.0
2000-02-01,58497.0
2000-03-01,63642.0
2000-04-01,64414.0
2000-05-01,63753.0
2000-06-01,68292.0
2000-07-01,63581.0
2000-08-01,64759.0
2000-09-01,66733.0
2000-10-01,63580.0
2000-11-01,62569.0
2000-12-01,62554.0
2001-01-01,60808.0
2001-02-01,60697.0
2001-03-01,58146.0
2001-04-01,54841.0
2001-05-01,56599.0
2001-06-01,55428.0
2001-07-01,53436.0
2001-08-01,54169.0
2001-09-01,50735.0
2001-10-01,49736.0
2001-11-01,51335.0
2001-12-01,51290.0
2002-01-01,47643.0
2002-02-01,50422.0
2002-03-01,47371.0
2002-04-01,49964.0
2002-05-01,50680.0
2002-06-01,48847.0
2002-07-01,49531.0
2002-08-01,51112.0
2002-09-01,48089.0
2002-10-01,49106.0
2002-11-01,49620.0
2002-12-01,48744.0
2003-01-01,48896.0
2003-02-01,49128.0
2003-03-01,51757.0
2003-04-01,49199.0
2003-05-01,50849.0
2003-06-01,49941.0
2003-07-01,49408.0
2003-08-01,50447.0
2003-09-01,51971.0
2003-10-01,51088.0
2003-11-01,52318.0
2003-12-01,53325.0
2004-01-01,50190.0
2004-02-01,51210.0
2004-03-01,54995.0
2004-04-01,52065.0
2004-05-01,52405.0
2004-06-01,53213.0
2004-07-01,53699.0
2004-08-01,51950.0
2004-09-01,56227.0
2004-10-01,53948.0
2004-11-01,55318.0
2004-12-01,56631.0
2005-01-01,57884.0
2005-02-01,57580.0
2005-03-01,56576.0
2005-04-01,58138.0
2005-05-01,57105.0
2005-06-01,58903.0
2005-07-01,57606.0
2005-08-01,60352.0
2005-09-01,58344.0
2005-10-01,59751.0
2005-11-01,60459.0
2005-12-01,61271.0
2006-01-01,62469.0
2006-02-01,62592.0
2006-03-01,65096.0
2006-04-01,63272.0
2006-05-01,64145.0
2006-06-01,63601.0
2006-07-01,63922.0
2006-08-01,64379.0
2006-09-01,66981.0
2006-10-01,66492.0
2006-11-01,66484.0
2006-12-01,65935.0
2007-01-01,64075.0
2007-02-01,63765.0
2007-03-01,67021.0
2007-04-01,66329.0
2007-05-01,64877.0
2007-06-01,64886.0
2007-07-01,65075.0
2007-08-01,66197.0
2007-09-01,65007.0
2007-10-01,65138.0
2007-11-01,65482.0
2007-12-01,68042.0
2008-01-01,68327.0
2008-02-01,66639.0
2008-03-01,66473.0
2008-04-01,69532.0
2008-05-01,68680.0
2008-06-01,67801.0
2008-07-01,67546.0
2008-08-01,66182.0
2008-09-01,63660.0
2008-10-01,59476.0
2008-11-01,60592.0
2008-12-01,55677.0
2009-01-01,49642.0
2009-02-01,50266.0
2009-03-01,49105.0
2009-04-01,46980.0
2009-05-01,48750.0
2009-06-01,50579.0
2009-07-01,50949.0
2009-08-01,49897.0
2009-09-01,52915.0
2009-10-01,51997.0
2009-11-01,53032.0
2009-12-01,54468.0
2010-01-01,52324.0
2010-02-01,53488.0
2010-03-01,56255.0
2010-04-01,52467.0
2010-05-01,57284.0
2010-06-01,59629.0
2010-07-01,56376.0
2010-08-01,58455.0
