Date,LREMTTTTUSM156S,LREMTTTTUSM156Srate
2000-02-01,64.6,0.0
2000-03-01,64.6,0.0
2000-04-01,64.7,0.0015479876160993111
2000-05-01,64.4,-0.004636785162287382
2000-06-01,64.5,0.0015527950310558758
2000-07-01,64.2,-0.0046511627906976605
2000-08-01,64.2,0.0
2000-09-01,64.2,0.0
2000-10-01,64.2,0.0
2000-11-01,64.3,0.0015576323987538387
2000-12-01,64.4,0.0015552099533437946
2001-01-01,64.4,0.0
2001-02-01,64.3,-0.0015527950310559868
2001-03-01,64.3,0.0
2001-04-01,64.0,-0.004665629860031051
2001-05-01,63.8,-0.0031250000000000444
2001-06-01,63.7,-0.0015673981191222097
2001-07-01,63.7,0.0
2001-08-01,63.2,-0.00784929356357933
2001-09-01,63.5,0.004746835443038
2001-10-01,63.2,-0.0047244094488188
2001-11-01,63.0,-0.0031645569620253333
2001-12-01,62.9,-0.0015873015873015817
2002-01-01,62.7,-0.0031796502384736636
2002-02-01,63.0,0.004784688995215225
2002-03-01,62.8,-0.0031746031746032743
2002-04-01,62.7,-0.0015923566878980333
2002-05-01,62.9,0.0031897926634767426
2002-06-01,62.7,-0.0031796502384736636
2002-07-01,62.7,0.0
2002-08-01,62.7,0.0
2002-09-01,63.0,0.004784688995215225
2002-10-01,62.7,-0.004761904761904745
2002-11-01,62.5,-0.0031897926634769647
2002-12-01,62.4,-0.0016000000000000458
2003-01-01,62.5,0.0016025641025640969
2003-02-01,62.5,0.0
2003-03-01,62.4,-0.0016000000000000458
2003-04-01,62.4,0.0
2003-05-01,62.3,-0.0016025641025640969
2003-06-01,62.3,0.0
2003-07-01,62.1,-0.0032102728731941976
2003-08-01,62.1,0.0
2003-09-01,62.0,-0.0016103059581320522
2003-10-01,62.1,0.001612903225806539
2003-11-01,62.3,0.0032206119162641045
2003-12-01,62.2,-0.0016051364365969878
2004-01-01,62.3,0.001607717041800516
2004-02-01,62.3,0.0
2004-03-01,62.2,-0.0016051364365969878
2004-04-01,62.3,0.001607717041800516
2004-05-01,62.3,0.0
2004-06-01,62.4,0.0016051364365972098
2004-07-01,62.5,0.0016025641025640969
2004-08-01,62.4,-0.0016000000000000458
2004-09-01,62.3,-0.0016025641025640969
2004-10-01,62.3,0.0
2004-11-01,62.5,0.0032102728731941976
2004-12-01,62.4,-0.0016000000000000458
2005-01-01,62.4,0.0
2005-02-01,62.4,0.0
2005-03-01,62.4,0.0
2005-04-01,62.7,0.004807692307692291
2005-05-01,62.8,0.0015948963317382603
2005-06-01,62.7,-0.0015923566878980333
2005-07-01,62.8,0.0015948963317382603
2005-08-01,62.9,0.0015923566878981443
2005-09-01,62.8,-0.0015898251192368873
2005-10-01,62.8,0.0
2005-11-01,62.7,-0.0015923566878980333
2005-12-01,62.8,0.0015948963317382603
2006-01-01,62.9,0.0015923566878981443
2006-02-01,63.0,0.0015898251192369983
2006-03-01,63.1,0.0015873015873015817
2006-04-01,63.0,-0.0015847860538827918
2006-05-01,63.1,0.0015873015873015817
2006-06-01,63.1,0.0
2006-07-01,63.0,-0.0015847860538827918
2006-08-01,63.1,0.0015873015873015817
2006-09-01,63.1,0.0
2006-10-01,63.3,0.0031695721077653616
2006-11-01,63.3,0.0
2006-12-01,63.4,0.0015797788309637184
2007-01-01,63.3,-0.001577287066246047
2007-02-01,63.3,0.0
2007-03-01,63.3,0.0
2007-04-01,63.0,-0.004739336492890933
2007-05-01,63.0,0.0
2007-06-01,63.0,0.0
2007-07-01,62.9,-0.0015873015873015817
2007-08-01,62.7,-0.0031796502384736636
2007-09-01,62.9,0.0031897926634767426
2007-10-01,62.7,-0.0031796502384736636
2007-11-01,62.9,0.0031897926634767426
2007-12-01,62.7,-0.0031796502384736636
2008-01-01,62.9,0.0031897926634767426
2008-02-01,62.8,-0.0015898251192368873
2008-03-01,62.7,-0.0015923566878980333
2008-04-01,62.7,0.0
2008-05-01,62.5,-0.0031897926634769647
2008-06-01,62.4,-0.0016000000000000458
2008-07-01,62.2,-0.0032051282051280827
2008-08-01,62.0,-0.003215434083601365
2008-09-01,61.9,-0.001612903225806428
2008-10-01,61.7,-0.003231017770597644
2008-11-01,61.4,-0.004862236628849326
2008-12-01,61.0,-0.006514657980456029
2009-01-01,60.6,-0.006557377049180357
2009-02-01,60.3,-0.004950495049505066
2009-03-01,59.9,-0.0066334991708125735
2009-04-01,59.8,-0.0016694490818029983
2009-05-01,59.6,-0.0033444816053510573
2009-06-01,59.4,-0.003355704697986628
2009-07-01,59.3,-0.0016835016835017313
2009-08-01,59.1,-0.003372681281618828
2009-09-01,58.7,-0.006768189509306244
2009-10-01,58.5,-0.0034071550255536653
2009-11-01,58.6,0.0017094017094017033
2009-12-01,58.3,-0.005119453924914752
2010-01-01,58.5,0.0034305317324185847
2010-02-01,58.5,0.0
2010-03-01,58.5,0.0
2010-04-01,58.7,0.0034188034188034067
2010-05-01,58.6,-0.0017035775127768327
2010-06-01,58.5,-0.0017064846416382506
2010-07-01,58.5,0.0
2010-08-01,58.6,0.0017094017094017033
2010-09-01,58.5,-0.0017064846416382506
