,DJI,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,buy,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sell,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2016-08-01 20:00:00+00:00,18404.509765625,,0.0,,0.0,,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-01 20:00:00+00:00,2016-08,2016-08-01 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,1,[],0.0
2016-08-02 20:00:00+00:00,18313.76953125,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-02 20:00:00+00:00,2016-08,2016-08-02 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,2,[],0.0
2016-08-03 20:00:00+00:00,18355.0,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-03 20:00:00+00:00,2016-08,2016-08-03 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,3,[],0.0
2016-08-04 20:00:00+00:00,18352.05078125,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-04 20:00:00+00:00,2016-08,2016-08-04 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,4,[],0.0
2016-08-05 20:00:00+00:00,18543.529296875,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-05 20:00:00+00:00,2016-08,2016-08-05 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,5,[],0.0
2016-08-08 20:00:00+00:00,18529.2890625,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-08 20:00:00+00:00,2016-08,2016-08-08 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,6,[],0.0
2016-08-09 20:00:00+00:00,18533.05078125,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-09 20:00:00+00:00,2016-08,2016-08-09 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,7,[],0.0
2016-08-10 20:00:00+00:00,18495.66015625,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-10 20:00:00+00:00,2016-08,2016-08-10 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,8,[],0.0
2016-08-11 20:00:00+00:00,18613.51953125,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-11 20:00:00+00:00,2016-08,2016-08-11 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,9,[],0.0
2016-08-12 20:00:00+00:00,18576.470703125,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-12 20:00:00+00:00,2016-08,2016-08-12 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,10,[],0.0
2016-08-15 20:00:00+00:00,18636.05078125,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-15 20:00:00+00:00,2016-08,2016-08-15 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,11,[],0.0
2016-08-16 20:00:00+00:00,18552.01953125,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-16 20:00:00+00:00,2016-08,2016-08-16 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,12,[],0.0
2016-08-17 20:00:00+00:00,18573.939453125,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-17 20:00:00+00:00,2016-08,2016-08-17 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,13,[],0.0
2016-08-18 20:00:00+00:00,18597.69921875,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-18 20:00:00+00:00,2016-08,2016-08-18 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,14,[],0.0
2016-08-19 20:00:00+00:00,18552.5703125,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-19 20:00:00+00:00,2016-08,2016-08-19 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,15,[],0.0
2016-08-22 20:00:00+00:00,18529.419921875,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-22 20:00:00+00:00,2016-08,2016-08-22 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,16,[],0.0
2016-08-23 20:00:00+00:00,18547.30078125,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-23 20:00:00+00:00,2016-08,2016-08-23 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,17,[],0.0
2016-08-24 20:00:00+00:00,18481.48046875,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-24 20:00:00+00:00,2016-08,2016-08-24 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,18,[],0.0
2016-08-25 20:00:00+00:00,18448.41015625,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-25 20:00:00+00:00,2016-08,2016-08-25 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,19,[],0.0
2016-08-26 20:00:00+00:00,18395.400390625,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-26 20:00:00+00:00,2016-08,2016-08-26 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,20,[],0.0
2016-08-29 20:00:00+00:00,18502.990234375,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-29 20:00:00+00:00,2016-08,2016-08-29 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,21,[],0.0
2016-08-30 20:00:00+00:00,18454.30078125,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-30 20:00:00+00:00,2016-08,2016-08-30 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,22,[],0.0
2016-08-31 20:00:00+00:00,18400.880859375,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-08-31 20:00:00+00:00,2016-08,2016-08-31 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,23,[],0.0
2016-09-01 20:00:00+00:00,18419.30078125,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-09-01 20:00:00+00:00,2016-09,2016-09-01 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,24,[],0.0
2016-09-02 20:00:00+00:00,18491.9609375,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-09-02 20:00:00+00:00,2016-09,2016-09-02 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,25,[],0.0
2016-09-06 20:00:00+00:00,18538.119140625,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-09-06 20:00:00+00:00,2016-09,2016-09-06 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,26,[],0.0
2016-09-07 20:00:00+00:00,18526.140625,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-09-07 20:00:00+00:00,2016-09,2016-09-07 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,27,[],0.0
2016-09-08 20:00:00+00:00,18479.91015625,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-09-08 20:00:00+00:00,2016-09,2016-09-08 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,28,[],0.0
2016-09-09 20:00:00+00:00,18085.44921875,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-09-09 20:00:00+00:00,2016-09,2016-09-09 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,29,[],0.0
2016-09-12 20:00:00+00:00,18325.0703125,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-09-12 20:00:00+00:00,2016-09,2016-09-12 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,30,[],0.0
2016-09-13 20:00:00+00:00,18066.75,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-09-13 20:00:00+00:00,2016-09,2016-09-13 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,31,[],0.0
2016-09-14 20:00:00+00:00,18034.76953125,0.0,0.0,,0.0,0.0,,False,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2016-09-14 20:00:00+00:00,2016-09,2016-09-14 13:31:00+00:00,0.0,100000.0,[],0.0,False,,0.0,0.0,0,,100000.0,0.0,0.0,32,[],0.0
