order_datetime,order_type,item_code,item_name,order_value,order_count,DJI,avg_price,res_cash,hold,portfolio_value,buy,sell
2013-04-30,buy,133690,TIGER 미국나스닥100,99987700,7235,13820,13820,12300,7235,100000000,True,False
2013-05-31,sell,133690,TIGER 미국나스닥100,107389105,7235,14843,13820,107401405,0,107401405,False,True
2013-07-01,buy,133690,TIGER 미국나스닥100,107388216,7402,14508,14508,13189,7402,107401405,True,False
2013-07-31,sell,133690,TIGER 미국나스닥100,112688048,7402,15224,14508,112701237,0,112701237,False,True
2013-08-01,buy,133690,TIGER 미국나스닥100,112700665,7355,15323,15323,572,7355,112701237,True,False
2013-08-30,sell,133690,TIGER 미국나스닥100,111501800,7355,15160,15323,111502372,0,111502372,False,True
2013-10-01,buy,133690,TIGER 미국나스닥100,111489485,7295,15283,15283,12887,7295,111502372,True,False
2013-10-31,sell,133690,TIGER 미국나스닥100,113765525,7295,15595,15283,113778412,0,113778412,False,True
2013-11-01,buy,133690,TIGER 미국나스닥100,113774400,7200,15802,15802,4012,7200,113778412,True,False
2013-11-29,sell,133690,TIGER 미국나스닥100,117374400,7200,16302,15802,117378412,0,117378412,False,True
2014-02-03,buy,133690,TIGER 미국나스닥100,117370448,6988,16796,16796,7964,6988,117378412,True,False
2014-02-28,sell,133690,TIGER 미국나스닥100,120892400,6988,17300,16796,120900364,0,120900364,False,True
2014-04-01,buy,133690,TIGER 미국나스닥100,120899184,7217,16752,16752,1180,7217,120900364,True,False
2014-04-30,sell,133690,TIGER 미국나스닥100,116547333,7217,16149,16752,116548513,0,116548513,False,True
2014-04-30,buy,133690,TIGER 미국나스닥100,116547333,7217,16149,16149,1180,7217,116548513,True,False
2014-05-30,sell,133690,TIGER 미국나스닥100,120646589,7217,16717,16149,120647769,0,120647769,False,True
2014-06-02,buy,133690,TIGER 미국나스닥100,120637984,7174,16816,16816,9785,7174,120647769,True,False
2014-06-30,sell,133690,TIGER 미국나스닥100,122833228,7174,17122,16816,122843013,0,122843013,False,True
2014-09-02,buy,133690,TIGER 미국나스닥100,122839665,6735,18239,18239,3348,6735,122843013,True,False
2014-09-30,sell,133690,TIGER 미국나스닥100,126974955,6735,18853,18239,126978303,0,126978303,False,True
2014-12-01,buy,133690,TIGER 미국나스닥100,126971775,5985,21215,21215,6528,5985,126978303,True,False
2014-12-30,sell,133690,TIGER 미국나스닥100,125373780,5985,20948,21215,125380308,0,125380308,False,True
2015-01-02,buy,133690,TIGER 미국나스닥100,125377125,6035,20775,20775,3183,6035,125380308,True,False
2015-01-30,sell,133690,TIGER 미국나스닥100,121919070,6035,20202,20775,121922253,0,121922253,False,True
2015-02-02,buy,133690,TIGER 미국나스닥100,121912752,6032,20211,20211,9501,6032,121922253,True,False
2015-02-27,sell,133690,TIGER 미국나스닥100,130502320,6032,21635,20211,130511821,0,130511821,False,True
2015-03-02,buy,133690,TIGER 미국나스닥100,130502790,6039,21610,21610,9031,6039,130511821,True,False
2015-03-31,sell,133690,TIGER 미국나스닥100,129464082,6039,21438,21610,129473113,0,129473113,False,True
2015-04-01,buy,133690,TIGER 미국나스닥100,129467488,6176,20963,20963,5625,6176,129473113,True,False
2015-04-30,sell,133690,TIGER 미국나스닥100,130782976,6176,21176,20963,130788601,0,130788601,False,True
2015-04-30,buy,133690,TIGER 미국나스닥100,130782976,6176,21176,21176,5625,6176,130788601,True,False
2015-05-29,sell,133690,TIGER 미국나스닥100,137280128,6176,22228,21176,137285753,0,137285753,False,True
2015-09-01,buy,133690,TIGER 미국나스닥100,137271944,6316,21734,21734,13809,6316,137285753,True,False
2015-09-30,sell,133690,TIGER 미국나스닥100,136735084,6316,21649,21734,136748893,0,136748893,False,True
2015-10-01,buy,133690,TIGER 미국나스닥100,136741000,6200,22055,22055,7893,6200,136748893,True,False
2015-10-30,sell,133690,TIGER 미국나스닥100,146245600,6200,23588,22055,146253493,0,146253493,False,True
2016-01-04,buy,133690,TIGER 미국나스닥100,146246189,6103,23963,23963,7304,6103,146253493,True,False
2016-01-29,sell,133690,TIGER 미국나스닥100,136865878,6103,22426,23963,136873182,0,136873182,False,True
2016-02-01,buy,133690,TIGER 미국나스닥100,136861994,6022,22727,22727,11188,6022,136873182,True,False
2016-02-29,sell,133690,TIGER 미국나스닥100,139276816,6022,23128,22727,139288004,0,139288004,False,True
2016-02-29,buy,133690,TIGER 미국나스닥100,139276816,6022,23128,23128,11188,6022,139288004,True,False
2016-03-31,sell,133690,TIGER 미국나스닥100,137253424,6022,22792,23128,137264612,0,137264612,False,True
2016-05-02,buy,133690,TIGER 미국나스닥100,137250284,6254,21946,21946,14328,6254,137264612,True,False
2016-05-31,sell,133690,TIGER 미국나스닥100,150296128,6254,24032,21946,150310456,0,150310456,False,True
2017-01-03,buy,133690,TIGER 미국나스닥100,150301723,5687,26429,26429,8733,5687,150310456,True,False
2017-01-31,sell,133690,TIGER 미국나스닥100,151006911,5687,26553,26429,151015644,0,151015644,False,True
2017-02-01,buy,133690,TIGER 미국나스닥100,151003127,5689,26543,26543,12517,5689,151015644,True,False
2017-02-28,sell,133690,TIGER 미국나스닥100,153733847,5689,27023,26543,153746364,0,153746364,False,True
2017-02-28,buy,133690,TIGER 미국나스닥100,153733847,5689,27023,27023,12517,5689,153746364,True,False
2017-03-31,sell,133690,TIGER 미국나스닥100,154405149,5689,27141,27023,154417666,0,154417666,False,True
2017-08-01,buy,133690,TIGER 미국나스닥100,154390184,5218,29588,29588,27482,5218,154417666,True,False
2017-08-31,sell,133690,TIGER 미국나스닥100,156430422,5218,29979,29588,156457904,0,156457904,False,True
2018-01-02,buy,133690,TIGER 미국나스닥100,156441246,5122,30543,30543,16658,5122,156457904,True,False
2018-01-31,sell,133690,TIGER 미국나스닥100,170106742,5122,33211,30543,170123400,0,170123400,False,True
2018-06-01,buy,133690,TIGER 미국나스닥100,170117400,5045,33720,33720,6000,5045,170123400,True,False
